Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Guatemala,,-0.32801860779201286,-0.007927646270656563,-0.12416994935284187,-0.0697786487615254,0.36663788637541006,-0.2142478077379899,-0.5052905798732834,-0.5320504485762579,-0.016393442622950838,0.04293785310734455,-0.07678764897074752,-0.215784069238668,0.16236438458660674,-0.0851303508207274,0.20246262093227796,-0.290081919251024,-0.2287245003090872
Guinea,,0.2995833333333333,1.6548573260660469,5.516816617354024,-0.0449942089413945,-0.5105026729666534,0.0748235947038769,-0.17904364984232946,-0.24962936340356712,0.07292321508756183,-0.4158645127089088,3.565055406954528,2.318894259945173,-0.3339943253467844,2.1251366818614295,0.22837079885551037,0.22339296085348703,0.34589364871702344
Guinea-Bissau,,,,,,,0.03144825704345444,-0.05529100529100528,-0.20897507700924112,0.040534560580582246,3.2860423577443223,0.42846936953027326,-0.300088911116668,0.08342430678231882,0.7116920709365382,0.5231454228254007,0.06038971533775106,-0.40502176895091546
Guyana,,0.1292364060288118,-0.1927217756802596,0.26179493034939494,0.044847431860136844,0.35051617820272996,-0.45967576441617075,-0.44663881503987846,0.013641043239533301,0.15725772323317821,0.6773934030571198,0.2865053411816001,0.07286653561987388,-0.005591357088703508,-0.607547889068903,-0.19184069936862558,0.23868189102564097,0.12686989569014306
Haiti,,-0.41782564952358403,0.0,0.0,0.09809901392701037,1.0161081281244213,0.5033060887133805,-0.08900699471578244,0.23299245599329432,0.3470114754989939,0.6988593923488442,-0.5918149085594097,-0.2598835516739447,-0.17566770247413754,-0.15560433268120433,-0.006385623869801127,0.21879087755218118,-0.10709286047596822
Honduras,,-0.3124839857651246,-0.2868027661600895,-0.18347558497358185,0.2183744577970561,-0.06951091397221898,-0.25064291538606287,-0.12011383610948356,-0.2039573820395738,0.1129302103250478,0.04627939439493178,-0.22926929392446638,-0.14287616511318246,-0.156750038837968,-0.37767133382461315,0.05831853167554768,0.14517482517482527,-0.6880801172447484
India,,0.026426943729420893,-0.11712245215019634,0.015302838813465058,0.024585389025266302,-0.05157977887220333,-0.017318362253236685,-0.15471436198013677,0.015620371296954705,0.020278669387280956,0.02328767298509704,-0.18083283228728253,-0.18527515991991794,-0.17427403766912897,0.25004820069635825,0.06083804736868359,-0.07010923993873053,-0.22324137645603503
Indonesia,,0.08949074149471525,0.023173338515351638,-0.18524578787624224,0.36697239481069066,0.4341468373691528,-0.20517100632713126,-0.10301584881342474,0.12008762336067025,-0.21973994290312138,0.7092821414285242,-0.09300203536554996,-0.010955220418182643,-0.1778090512877586,-0.26635460968133506,-0.13888194518841235,0.0065660638175324415,0.19760585946440834
Iran (Islamic Republic of),,-0.020947453844593178,-0.19401129358130864,0.5144620131122253,-0.41341991341991347,0.3722596049489906,-0.16118316988294845,-0.012382927902445107,-0.46862270875763745,-0.47957839262187085,-0.5749136939010357,-0.11640498105035191,-0.5367647058823529,-0.3664021164021164,-0.25260960334029225,-0.5335195530726258,-0.5149700598802396,-0.2962962962962963
Iraq,,-0.3198924731182796,-0.2474308300395257,-0.6355042016806722,-0.5533141210374639,-0.6967741935483871,-0.4893617021276596,-0.875,-0.33333333333333337,-1.0,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,
Kenya,,,,0.964337373435084,-0.2807048726607927,0.0,0.0,0.0,28.64921632307258,0.0,0.06980329871425628,0.11604941843965322,0.4494054178030624,0.6066959712302482,0.20282098209812416,-0.4663354137214478,0.8571019734801308,0.15491877065038806
